country,temperature_celsius,humidity
Afghanistan,21.847695390781563,24.354709418837675
Albania,23.163326653306612,49.22444889779559
Algeria,23.5859437751004,58.11244979919679
Andorra,12.530260521042084,58.55310621242485
Angola,26.272344689378755,72.66132264529058
Antigua and Barbuda,26.8210101010101,78.48282828282828
Argentina,13.663782696177062,82.98189134808852
Armenia,20.972545090180358,35.54308617234469
Australia,11.987374749498997,73.32264529058116
Austria,16.078112449799196,62.34136546184739
Azerbaijan,21.28172690763052,56.859437751004016
Bahamas,25.464097363083162,80.44624746450305
Bahrain,32.14829659318637,45.56112224448898
Bangladesh,31.40241448692153,50.82092555331992
Barbados,27.38266129032258,80.29233870967742
Belarus,13.576553106212424,67.09018036072145
Belgium,14.34173469387755,73.40102040816326
Belize,22.93010101010101,95.82828282828282
Benin,28.780321285140563,76.42369477911646
Bhutan,13.723092369477913,68.35341365461848
Bolivia,17.059150657229523,74.33265925176947
Bosnia and Herzegovina,16.72204408817635,62.69539078156313
Botswana,23.902204408817635,40.84769539078156
Brazil,24.596565656565655,80.11111111111111
Brunei Darussalam,29.07269076305221,78.62048192771084
Bulgaria,19.399623706491063,49.26058325493885
Burkina Faso,29.580522088353415,53.68072289156626
Burundi,26.546492985971945,57.20440881763527
B̩lgica,17.4,63.0
Cambodia,31.327510040160643,68.18273092369478
Cameroon,25.40603621730382,60.16700201207244
Canada,8.066532258064516,85.1491935483871
Cape Verde,24.830060120240482,70.93587174348697
Central African Republic,29.501807228915663,63.10843373493976
Chad,31.406212424849702,43.51102204408818
Chile,9.683467741935484,77.92338709677419
China,20.267469879518075,46.11646586345382
Colombia,13.5,80.0
Comoros,26.255935613682094,73.41046277665995
Congo,27.51004016064257,68.69076305220884
Costa Rica,19.627789046653145,84.95943204868153
Cote d'Ivoire,22.681578947368422,91.36842105263158
Croatia,17.88209255533199,62.65392354124749
Cuba,23.495757575757576,91.9030303030303
Cyprus,27.307831325301205,43.45381526104418
Czech Republic,14.197379032258064,65.92338709677419
Democratic Republic of Congo,27.42983870967742,68.98387096774194
Denmark,13.344578313253013,73.36947791164658
Djibouti,33.07585513078471,52.398390342052316
Dominica,26.919354838709676,78.44959677419355
Dominican Republic,24.36121212121212,94.02828282828283
Ecuador,10.357085020242915,80.91497975708502
Egypt,28.086947791164658,38.69477911646587
El Salvador,23.55131845841785,89.90872210953347
Equatorial Guinea,27.591783567134268,83.46092184368737
Eritrea,21.935871743486974,43.57314629258517
Estonia,12.28132530120482,69.60642570281125
Estonie,23.3,61.0
Ethiopia,20.491146881287726,52.45070422535211
Fiji Islands,24.05070140280561,90.96593186372745
Finland,12.138076152304608,70.46092184368737
France,15.462650602409639,71.35140562248996
Gabon,27.3066265060241,80.82530120481928
Gambia,26.060563380281693,69.38229376257546
Georgia,20.3215291750503,50.10663983903421
Germany,15.183567134268538,65.02805611222445
Ghana,27.809218436873746,78.39879759519039
Greece,24.904242424242426,42.644444444444446
Grenada,27.367272727272727,82.55555555555556
Guatemala,17.435902636916836,91.19066937119675
