,latitude,longitude,last_updated_epoch,temperature_celsius,temperature_fahrenheit,wind_mph,wind_kph,wind_degree,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feels_like_celsius,feels_like_fahrenheit,visibility_km,visibility_miles,uv_index,gust_mph,gust_kph,air_quality_Carbon_Monoxide,air_quality_Ozone,air_quality_Nitrogen_dioxide,air_quality_Sulphur_dioxide,air_quality_PM2.5,air_quality_PM10,air_quality_us-epa-index,air_quality_gb-defra-index,moon_illumination
latitude,1.0,-0.019957192565564594,0.0006680294931722332,-0.26602620230930274,-0.26602100760031894,0.01862113967085492,0.018621424142321038,0.16698309759287025,0.004290033939033115,0.004287612544356383,-0.05296679866549049,-0.05146492925421325,-0.1417798872185525,-0.08612057076146426,-0.30262775382675716,-0.30261031080016293,-0.00017333176743708175,0.0004408569429339471,-0.07274641589901518,-0.006656973509228839,-0.006629820304258985,-0.0639409529023159,0.14462259782762069,0.20569952399679126,0.044672124242502,-0.014300820878636792,0.010523607919695798,0.03562426209207362,0.029956699568103158,-0.0005233032550904417
longitude,-0.019957192565564594,1.0,-0.0006403700022710177,0.1545913221694462,0.15459644439324868,0.04552189213385552,0.045438547434507676,0.07047605911691915,-0.11705880681277347,-0.11562827716198239,0.05930948325612114,0.059345760709379865,-0.2217367093433221,0.031443093811921494,0.15491531522855068,0.1549128261437432,0.128016644966693,0.12747104127835615,0.09558010413996552,0.030035018298443694,0.03002734651020741,0.09803695263544393,0.0448412452347555,0.13814441542120934,0.08781818374510893,0.09314149193855074,0.04120144692318567,0.13240323091462924,0.13354382042262114,-8.010262236930095e-05
last_updated_epoch,0.0006680294931722332,-0.0006403700022710177,1.0,-0.059297668046163994,-0.059284622750733866,-0.023231809814713563,-0.023295741363364618,-0.0028272352115211326,0.036229751966205814,0.03615955915220827,-0.0098954820716721,-0.010022490784575452,0.07366585305532186,-0.012629251747390489,-0.05723629990036407,-0.0572419547418473,-0.005149237447839688,-0.008389946168086007,-0.17070440913414467,-0.08004249510922555,-0.08005553982043458,0.009846025117670975,-0.043425087529271024,0.10451740786207603,0.033887670965846495,0.08304474065283945,0.051428248897030016,0.14423224503135013,0.1250015810602388,-0.008287974724380838
temperature_celsius,-0.26602620230930274,0.1545913221694462,-0.059297668046163994,1.0,0.9999966676798252,0.0755132183376717,0.07543142691696772,-0.02212273729584696,-0.3099572673321986,-0.31044420954474206,0.01420918813954445,0.01443938500145077,-0.34517042794484537,-0.1684198311471901,0.9783129160673547,0.9783087523772293,0.05618110905322203,0.058154639229198724,0.4795689785222276,0.08093196792539521,0.08095841727707195,-0.04937657578000378,0.26200770022345354,-0.1719034901523807,-0.04332111176452342,0.032781643715893406,0.11138584903185896,0.06545970933321589,0.06879223739496716,-0.006194285905603937
temperature_fahrenheit,-0.26602100760031894,0.15459644439324868,-0.059284622750733866,0.9999966676798252,1.0,0.07552748426966097,0.07544569333301737,-0.022108805420654232,-0.3099539351497656,-0.31044099797487057,0.01422641023968253,0.01445602803166812,-0.34516860957942086,-0.16840297010972227,0.9783134444691731,0.9783102488743818,0.05618808104109847,0.058159832265165384,0.4795741634494818,0.08094278431526496,0.08096928239442175,-0.049372769985431726,0.2620171721100882,-0.17189246329945104,-0.04331817555448906,0.03278902536192893,0.11138661149189716,0.06546467050323622,0.06879583910195307,-0.006197891105036878
wind_mph,0.01862113967085492,0.04552189213385552,-0.023231809814713563,0.0755132183376717,0.07552748426966097,1.0,0.9999899086966917,0.004523165405197992,-0.06958642582556873,-0.06983639287975413,-0.0005732554661439279,-0.001447531965266623,-0.06440075054326116,0.015361285067874672,0.05939118981565605,0.05941302264744108,0.06591675719103261,0.06813441975725494,0.04878830451260707,0.9500623891737244,0.9500608936515538,-0.09924992173443332,0.07383840449013164,-0.10913239393078669,-0.047074581887730574,-0.03787823096803675,0.050732678421014345,-0.06043706259808565,-0.05049484641423088,0.005228623965135732
wind_kph,0.018621424142321038,0.045438547434507676,-0.023295741363364618,0.07543142691696772,0.07544569333301737,0.9999899086966917,1.0,0.004521254045962506,-0.06955181045513546,-0.0698013385557755,-0.0005883698057587586,-0.0014630912293002152,-0.06435928332785139,0.015387489102947976,0.05932468825274811,0.05934646198272326,0.06585474753397823,0.06807919190856157,0.048731512142621496,0.9501021405480541,0.9501012483976996,-0.09923680305693215,0.0738137142604979,-0.10911712911762446,-0.04705648369505476,-0.03789708921542804,0.05068468639533393,-0.060462382983523674,-0.05051428354590609,0.005224296743712215
wind_degree,0.16698309759287025,0.07047605911691915,-0.0028272352115211326,-0.02212273729584696,-0.022108805420654232,0.004523165405197992,0.004521254045962506,1.0,-0.054234882656699256,-0.05396722603585615,0.011239882474258698,0.011622819356318485,-0.04890522816924002,0.005073668777330509,-0.0301868033325412,-0.030170772815231377,-0.06968893517193368,-0.07129436199655827,0.048158481341104634,-0.0036026056552534947,-0.003599682351423499,0.019122933611639303,0.0720435619802058,0.07089440993499607,0.0442408398797173,0.012443368502584606,0.0009145570205483858,0.030600717176808172,0.030065800920718904,-0.012533919233798447
pressure_mb,0.004290033939033115,-0.11705880681277347,0.036229751966205814,-0.3099572673321986,-0.3099539351497656,-0.06958642582556873,-0.06955181045513546,-0.054234882656699256,1.0,0.9998390154698001,-0.06966858825869636,-0.0688948982225342,0.02035409175898353,-0.03716142265960846,-0.3097513785025768,-0.30975315494768235,-0.00379958391318406,-0.0017510518557414935,-0.06875411994720192,-0.09704339759338218,-0.09704505603919876,0.009863828907987805,-0.11190441692600246,0.05020051895164046,0.017796471537108588,-0.004155634152913401,-0.027510763129321332,6.479511752484973e-05,-0.007621341073914989,0.008896268093224226
pressure_in,0.004287612544356383,-0.11562827716198239,0.03615955915220827,-0.31044420954474206,-0.31044099797487057,-0.06983639287975413,-0.0698013385557755,-0.05396722603585615,0.9998390154698001,1.0,-0.06950709900484525,-0.06873153163215431,0.019845170266047943,-0.037096431096785246,-0.31022959344829476,-0.31023129628727536,-0.004560090769299435,-0.0024200971949898983,-0.0687041728117583,-0.09741882973899034,-0.09742016837924485,0.010617969161650882,-0.11199237061678859,0.0512272882536272,0.01818147083512591,-0.0037644520713732556,-0.027486405350579318,0.00054511026143801,-0.007128365983207705,0.008815410399507752
precip_mm,-0.05296679866549049,0.05930948325612114,-0.0098954820716721,0.01420918813954445,0.01422641023968253,-0.0005732554661439279,-0.0005883698057587586,0.011239882474258698,-0.06966858825869636,-0.06950709900484525,1.0,0.9981668747968139,0.18601411463789547,0.21787030810645897,0.04646256930100413,0.04645924681070473,-0.04887710240881617,-0.05974199949026612,-0.08018355044862588,0.04034066616054392,0.04032676947681216,0.011941660893443317,-0.07826077297582505,-0.026463545840982153,-0.0211126518659054,-0.04869782983274907,-0.042698044503204725,-0.07052507543826936,-0.06524763857826357,0.004056947509817686
precip_in,-0.05146492925421325,0.059345760709379865,-0.010022490784575452,0.01443938500145077,0.01445602803166812,-0.001447531965266623,-0.0014630912293002152,0.011622819356318485,-0.0688948982225342,-0.06873153163215431,0.9981668747968139,1.0,0.18129042205204474,0.2110837346045383,0.04595676153914358,0.04595399105269352,-0.04913651785138636,-0.06007128631233035,-0.07763573377986144,0.039061978963363365,0.03904746380864635,0.012738871270176264,-0.07603898714301885,-0.02466705223956078,-0.019597905086827835,-0.04682007575093929,-0.04127585078400522,-0.06794448502590193,-0.06265621260979004,0.0037970054245420855
humidity,-0.1417798872185525,-0.2217367093433221,0.07366585305532186,-0.34517042794484537,-0.34516860957942086,-0.06440075054326116,-0.06435928332785139,-0.04890522816924002,0.02035409175898353,0.019845170266047943,0.18601411463789547,0.18129042205204474,1.0,0.5398208497641079,-0.22567668030036125,-0.22564420032675364,-0.06952197864800577,-0.08761540828127666,-0.5659433629953191,0.006283183271801285,0.006241528514761206,-0.02163735632843742,-0.437844785903865,-0.0709630116910772,-0.09238588526503383,-0.18059721097848191,-0.22748047674105004,-0.24136929248100294,-0.23821101825107965,-0.0009064665570964414
cloud,-0.08612057076146426,0.031443093811921494,-0.012629251747390489,-0.1684198311471901,-0.16840297010972227,0.015361285067874672,0.015387489102947976,0.005073668777330509,-0.03716142265960846,-0.037096431096785246,0.21787030810645897,0.2110837346045383,0.5398208497641079,1.0,-0.10216284054418362,-0.10212268200103826,-0.04407946356286451,-0.061316765406698885,-0.2540295730088014,0.05043353106940622,0.050417654211866544,-0.04802840841472479,-0.2521196910925624,-0.10192691306663795,-0.08283486489368676,-0.1724947783350385,-0.15422763782977605,-0.22561301653765853,-0.22097523937396682,0.004074255411888294
feels_like_celsius,-0.30262775382675716,0.15491531522855068,-0.05723629990036407,0.9783129160673547,0.9783134444691731,0.05939118981565605,0.05932468825274811,-0.0301868033325412,-0.3097513785025768,-0.31022959344829476,0.04646256930100413,0.04595676153914358,-0.22567668030036125,-0.10216284054418362,1.0,0.9999952587655306,0.06772077482269712,0.06834907039196966,0.40786768756842107,0.0762656700206376,0.07628809418494176,-0.035061045176092806,0.1890914600596241,-0.1699290620778812,-0.04662817087631262,0.016627741842329867,0.08097366659331558,0.04353246233537961,0.047120080925538634,-0.0050288471933322655
feels_like_fahrenheit,-0.30261031080016293,0.1549128261437432,-0.0572419547418473,0.9783087523772293,0.9783102488743818,0.05941302264744108,0.05934646198272326,-0.030170772815231377,-0.30975315494768235,-0.31023129628727536,0.04645924681070473,0.04595399105269352,-0.22564420032675364,-0.10212268200103826,0.9999952587655306,1.0,0.06774315494276835,0.06837404130993273,0.40785152323129514,0.07629222296434779,0.07631467611355705,-0.035061526849312005,0.18908605216541532,-0.16993558733159153,-0.04664947442378097,0.016615748694593663,0.08097692055895249,0.04350689365123472,0.04709155973204172,-0.005021211770104539
visibility_km,-0.00017333176743708175,0.128016644966693,-0.005149237447839688,0.05618110905322203,0.05618808104109847,0.06591675719103261,0.06585474753397823,-0.06968893517193368,-0.00379958391318406,-0.004560090769299435,-0.04887710240881617,-0.04913651785138636,-0.06952197864800577,-0.04407946356286451,0.06772077482269712,0.06774315494276835,1.0,0.9920533661869558,-0.009288283043219192,0.0904253999241087,0.09041435036161333,-0.08939231798991348,-0.0305496415469844,-0.07973286271195462,-0.04741590463592624,-0.12284280008020004,-0.05921773921047676,-0.13709809340121565,-0.1340619121665532,-0.0004251328085956999
visibility_miles,0.0004408569429339471,0.12747104127835615,-0.008389946168086007,0.058154639229198724,0.058159832265165384,0.06813441975725494,0.06807919190856157,-0.07129436199655827,-0.0017510518557414935,-0.0024200971949898983,-0.05974199949026612,-0.06007128631233035,-0.08761540828127666,-0.061316765406698885,0.06834907039196966,0.06837404130993273,0.9920533661869558,1.0,-0.00012747919913616362,0.09012898824345723,0.09011813659971118,-0.09759349751892658,-0.025538552904921123,-0.0849486629147083,-0.05119317663603096,-0.13306377932974417,-0.06377111884847121,-0.14878901251279494,-0.1467000919139282,-0.0012738193100060476
uv_index,-0.07274641589901518,0.09558010413996552,-0.17070440913414467,0.4795689785222276,0.4795741634494818,0.04878830451260707,0.048731512142621496,0.048158481341104634,-0.06875411994720192,-0.0687041728117583,-0.08018355044862588,-0.07763573377986144,-0.5659433629953191,-0.2540295730088014,0.40786768756842107,0.40785152323129514,-0.009288283043219192,-0.00012747919913616362,1.0,-0.010573912920405628,-0.010536051651820581,-0.09216017426783273,0.32951067523995986,-0.14122508649986107,-0.02655371836570653,0.013982677034792735,0.10768812691533164,0.03418579150424233,0.024594180916313185,-0.0028464167643138956
